Province_State,Country_Region,Lat,Long_,Confirmed
Alabama,US,32.3182,-86.9023,70358
Alaska,US,61.3707,-152.4044,2042
Arizona,US,33.7298,-111.4312,148683
Arkansas,US,34.9697,-92.3731,34655
California,US,36.1162,-119.6816,409305
Colorado,US,39.0598,-105.3111,41041
Connecticut,US,41.5978,-72.7554,48096
Delaware,US,39.3185,-75.5071,13746
Florida,US,27.7663,-81.6868,369834
Georgia,US,33.0406,-83.6431,148988
Hawaii,US,21.0943,-157.4983,1418
Idaho,US,44.2405,-114.4788,15823
Illinois,US,40.3495,-88.9861,164864
Indiana,US,39.8494,-86.2583,57916
Iowa,US,42.0115,-93.2105,39721
Kansas,US,38.5266,-96.7265,22929
Kentucky,US,37.6681,-84.6701,24060
Louisiana,US,31.1695,-91.8678,96583
Maine,US,44.6939,-69.3819,3723
Maryland,US,39.0639,-76.8021,79545
Massachusetts,US,42.2302,-71.5301,114033
Michigan,US,43.3266,-84.5361,83059
Minnesota,US,45.6945,-93.9002,47457
Mississippi,US,32.7416,-89.6787,45524
Missouri,US,38.4561,-92.2884,35194
Montana,US,46.9219,-110.4544,2711
Nebraska,US,41.1254,-98.2681,23190
Nevada,US,38.3135,-117.0554,37528
New Hampshire,US,43.4525,-71.5639,6262
New Jersey,US,40.2989,-74.521,177256
New Mexico,US,34.8405,-106.2485,17517
New York,US,42.1657,-74.9481,408181
North Carolina,US,35.6301,-79.8064,103216
North Dakota,US,47.5289,-99.784,5207
Ohio,US,40.3888,-82.7649,77215
Oklahoma,US,35.5653,-96.9289,26326
Oregon,US,44.572,-122.0709,15139
Pennsylvania,US,40.5908,-77.2098,107460
Rhode Island,US,41.6809,-71.5118,17986
South Carolina,US,33.8569,-80.945,73337
South Dakota,US,44.2998,-99.4388,8019
Tennessee,US,35.7478,-86.6923,81944
Texas,US,31.0545,-97.5635,351071
Utah,US,40.15,-111.8624,35012
Vermont,US,44.0459,-72.7107,1366
Virginia,US,37.7693,-78.17,79371
Washington,US,47.4009,-121.4905,48575
West Virginia,US,38.4912,-80.9545,5172
Wisconsin,US,44.2685,-89.6165,44135
Wyoming,US,42.756,-107.3025,2238
